msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm
"Bay City, MI",4978,13969,5.61229409401366,4711197.50999999,337.26089984966643,2.9043792687826437,3969,2461823.9550000075,7179,342.9201776013383,1.0299771884450994,0.006128987324139852,4.240714915161481,3.3811565886452226,4013.428193838608,2097.2064211471193,1.1113924281334322,1173.8586770364034
"Bloomsburg-Berwick, PA",6107,16016,5.245128541018503,6281489.434000032,392.2008887362657,2.732438185688554,4861,3226310.0059999893,8262,390.4998796901464,1.0819469158783177,0.007746308399903171,3.7745818830100606,3.0044608700363358,3882.429378728613,1994.1004253515048,2.2020384814464236,1617.9275451642714
"Altoona, PA",7387,19256,5.213483146067416,4506170.260999963,234.01382743040935,2.7555164478137266,5646,2403920.069999997,10142,237.02623447051835,1.0775413867303028,0.0037467955038453953,5.408914426464471,4.134118160527739,3299.511213324471,1760.2000740071023,2.2148948255918604,1365.7084245698636
"Auburn-Opelika, AL",9142,21769,4.7624152264274775,5782902.4170000125,265.6485101290832,2.4784511047910742,6326,3006122.5040000025,11301,266.00499991151247,1.0777767976921095,0.012565259711529954,5.712743193802098,3.9530533191853063,3613.677141012746,1878.4955014724715,4.330159621106172,1600.2819818539
"Chambersburg-Waynesboro, PA",7228,18575,5.139734366353071,6737179.098000005,362.7014319246301,2.6411178749308246,5526,3456835.8000000063,9498,363.9540745420095,1.079661927810267,0.009791535060012634,3.6078297816855347,2.758282702489522,3362.8383224009,1725.4669548473662,4.745853124578187,2003.4204597710166
"Cumberland, MD-WV",7332,17325,4.725859247135843,5427516.958999971,313.2765921500705,2.488543371522095,5076,2831839.417999983,9094,311.3964611831958,1.1230127990275218,0.0058280184737189355,3.7431971094929892,2.5914441527259156,2770.9036814856618,1445.7355597389314,3.1739964946890056,1958.7533826112376
"Boulder, CO",14392,36240,5.036131183991106,6702837.937000082,184.9568967163378,2.743468593663146,11311,3553050.3990000025,19740,179.99242142857156,1.1195170550556912,0.013069908814589666,7.50168579802257,5.895745418387527,3493.7871149555594,1851.9919203610855,18.201334909652918,1918.5021057258496
"Altoona, PA",7387,19256,5.213483146067416,4506170.260999963,234.01382743040935,2.7555164478137266,5646,2403920.069999997,10142,237.02623447051835,1.0775413867303028,0.0037467955038453953,5.408914426464471,4.134118160527739,3299.511213324471,1760.2000740071023,2.2148948255918604,1365.7084245698636
"Abilene, TX",14357,39401,5.488751131852058,17168965.934999853,435.7494970939787,2.881451556731908,11912,8925436.120000001,20606,433.1474386101136,1.0678402558487987,0.004464719013879453,2.0125234485942585,1.6697902987848998,2406.6968400294804,1251.1422637340781,7.048504742434362,7133.829923834339
"Albany, GA",8466,22838,5.395227970706355,9545102.272000037,417.9482560644556,2.8374675171273327,6957,4989592.978999986,11954,417.3994461268183,1.0528330884702628,0.0029278902459427807,2.0289652663834397,1.6673176657488293,2287.5833893179456,1195.80803777246,6.9795804483505375,4172.570196379139
